wz,jobs,lat,lon
E33002413,208,53.47404864,-2.18410331
E33002414,513,53.46978848,-2.17618718
E33002415,467,53.47156841,-2.17676213
E33002416,767,53.43562325,-2.26487990
E33002417,477,53.44487106,-2.27846285
E33002418,235,53.44316674,-2.27614904
E33002419,252,53.44172318,-2.27680692
E33002420,671,53.44278972,-2.27886535
E33002421,276,53.44261817,-2.27637632
E33002422,3376,53.51791436,-2.22948191
E33002423,562,53.51455598,-2.24646354
E33002424,640,53.41696507,-2.23200617
E33002425,238,53.41790796,-2.23125435
E33002426,209,53.41614089,-2.23118275
E33002427,564,53.41154759,-2.22910969
E33002428,344,53.41100459,-2.22420063
E33002429,556,53.40806358,-2.22776644
E33002430,306,53.40980018,-2.22740393
E33002431,462,53.40774150,-2.22731579
E33002432,646,53.40924748,-2.22635085
E33002433,831,53.40802207,-2.22043825
E33002434,447,53.44580427,-2.21968527
E33002435,375,53.46209580,-2.17328376
E33002436,672,53.51279804,-2.21229563
E33002437,1196,53.50256510,-2.20246224
E33002438,358,53.51192852,-2.20185947
E33002439,413,53.46156839,-2.19979292
E33002440,472,53.45950316,-2.19621637
E33002441,289,53.45584300,-2.19942871
E33002442,358,53.45749081,-2.19946240
E33002443,307,53.45777363,-2.20114837
E33002444,257,53.45690320,-2.20078876
E33002445,244,53.50386690,-2.17931469
E33002446,394,53.50125801,-2.18065411
E33002447,347,53.50511521,-2.18477801
E33002448,205,53.49465079,-2.20756641
E33002449,293,53.49641956,-2.20104476
E33002450,549,53.49408001,-2.20181273
E33002451,177,53.49871440,-2.19938542
E33002452,631,53.49807099,-2.20227530
E33002453,372,53.49287596,-2.20491373
E33002454,420,53.40160820,-2.25381617
E33002455,643,53.40085809,-2.25609680
E33002456,292,53.40074900,-2.25157541
E33002457,556,53.39857773,-2.26621807
E33002458,2654,53.42978028,-2.23004859
E33002459,227,53.45406310,-2.22436524
E33002460,233,53.45465120,-2.22615005
E33002461,381,53.45551237,-2.22233300
E33002462,983,53.36745321,-2.26517843
E33002463,574,53.36409346,-2.23968827
E33002464,951,53.36494957,-2.24024644
E33002465,296,53.36240059,-2.28922295
