lat,lon,jobs
53.56467055,-2.02021002,434
53.54700003,-2.09066571,380
53.54393196,-2.10306809,791
53.54540469,-2.10075469,440
53.54289458,-2.10453042,279
53.54281904,-2.11051960,342
53.54225891,-2.10702455,231
53.54308108,-2.10823904,242
53.54133347,-2.10709508,301
53.54246647,-2.11208940,211
53.53774002,-2.09506879,239
53.54009855,-2.09446848,465
53.54332789,-2.09312547,500
53.54330308,-2.09573691,151
53.54432892,-2.09426852,293
53.54093838,-2.09089004,212
53.54149675,-2.09986167,830
53.52164887,-2.11170710,462
53.54059786,-2.11635484,567
53.53840421,-2.11450409,251
53.53966530,-2.11182857,588
53.54117918,-2.11515273,693
53.53994688,-2.11267617,656
53.54154017,-2.11587008,165
53.53940946,-2.11388719,532
53.54008065,-2.11425929,247
53.54166144,-2.10956664,385
53.54175711,-2.11369607,477
53.57543076,-2.09285301,666
53.57657126,-2.08717871,996
53.60269395,-2.16361600,948
53.59399290,-2.17775955,423
53.59750666,-2.17163371,948
53.61241077,-2.15572730,295
53.61759486,-2.15582455,686
53.61164875,-2.15423059,347
53.61575456,-2.15072281,211
53.61426585,-2.14904891,235
53.61583050,-2.15439060,226
53.61450639,-2.15218871,301
53.61336532,-2.15083645,289
53.61389206,-2.15431341,229
53.61676343,-2.15732854,270
53.61638989,-2.15681376,254
53.61196341,-2.15950650,253
53.61957953,-2.15965439,243
53.62187547,-2.15611915,238
53.61851751,-2.15563880,462
53.61810547,-2.15533943,428
53.61961845,-2.15451422,227
53.61803851,-2.15758027,301
53.61724257,-2.15878295,503
53.61765118,-2.15897212,567
53.61569374,-2.16589721,818
53.61173805,-2.16308188,429
53.61572052,-2.15892297,524
53.61539908,-2.15547985,253
53.61659475,-2.15931821,730
53.61386325,-2.16523322,374
53.61597303,-2.16132624,366
53.59512991,-2.22384703,419
53.59390042,-2.22243140,398
53.58676806,-2.20334950,436
53.58943089,-2.20744781,260
53.58779835,-2.20872500,467
53.58936195,-2.20434990,767
53.58353322,-2.23154991,1092
53.58649488,-2.22246828,271
53.57712140,-2.22158655,767
53.58067206,-2.24736484,407
53.58134543,-2.23892109,1476
53.59039700,-2.26573247,106
53.59131894,-2.26160596,307
53.58925684,-2.27493319,1126
53.57059778,-2.16951092,351
53.57042491,-2.17191066,254
53.56813067,-2.16967152,1332
53.54811975,-2.19627487,259
53.54840403,-2.19562855,404
53.54974100,-2.19845815,268
53.54979875,-2.19493278,208
53.55072497,-2.19238564,306
53.54827907,-2.20103573,841
53.55947349,-2.23144772,317
53.60883060,-2.10878012,224
53.60890567,-2.11103369,427
53.60891339,-2.14520169,416
53.60888392,-2.13979569,392
53.61124704,-2.14680736,704
53.62295108,-2.15151780,339
53.62386941,-2.15491881,307
53.61724213,-2.18549562,406
53.48250383,-2.33509263,548
53.48123007,-2.28043174,312
53.48357371,-2.27066503,1976
53.48069692,-2.27611030,213
53.48060743,-2.27088289,298
53.49524730,-2.25586544,383
53.49055381,-2.27709639,198
53.42840003,-2.43011317,587
53.42567707,-2.43778261,219
53.43567814,-2.42201290,723
53.43232888,-2.42416047,534
53.43781713,-2.42325730,620
53.43842042,-2.42736690,293
53.44003350,-2.41807192,442
53.43081600,-2.43113318,720
53.48394498,-2.33662239,396
53.48432054,-2.33914108,259
53.53004625,-2.42314334,238
53.47697717,-2.26805279,435
53.51343895,-2.32461279,299
53.51254276,-2.33838291,345
53.51338240,-2.33345869,426
53.51371922,-2.32762748,208
53.51369465,-2.33507899,402
53.50452752,-2.29350912,207
53.50655258,-2.29891511,565
53.50873926,-2.30055504,614
53.49063406,-2.28838503,1332
53.48894554,-2.28672136,465
53.48880092,-2.28780676,339
53.49522721,-2.27859374,269
53.49326911,-2.28465989,288
53.49490767,-2.28545925,241
53.51362089,-2.36066721,775
53.51335774,-2.35528776,464
53.51576943,-2.35979170,1001
53.51398929,-2.34302316,443
53.51019475,-2.33876148,502
53.51108308,-2.33970478,1694
53.52424385,-2.40003710,247
53.52669747,-2.38672068,327
53.47938342,-2.30680819,678
53.48163198,-2.32709820,914
53.43398705,-2.12107867,604
53.43151697,-2.12502051,709
53.42529588,-2.11994884,246
53.43077373,-2.11822091,351
53.43109397,-2.12335890,573
53.42933551,-2.12049129,609
53.41301087,-2.14455666,225
53.41018593,-2.15510869,289
53.41221588,-2.15913602,552
53.40861431,-2.16129596,519
53.40987057,-2.16147223,241
53.41040787,-2.16036004,373
53.40911218,-2.15665254,336
53.40967368,-2.15900814,370
53.40998000,-2.15763813,437
53.41258869,-2.15650353,826
53.41108939,-2.16098014,405
53.40714987,-2.15540991,689
53.41365721,-2.15129718,599
53.41074432,-2.15819834,236
53.41162315,-2.15780678,198
53.40855343,-2.15920247,337
53.41127335,-2.15947664,265
