code,name,easting,northing,latitude,longitude
E01033688,Manchester 013G,386075,398138,53.47978,-2.21129
E01005683,Salford 017C,381304,400144,53.49766,-2.2833
E01005682,Salford 024D,381434,398918,53.48665,-2.28127
E01005681,Salford 024C,381335,399252,53.48964,-2.28277
E01005680,Salford 017B,380766,399503,53.49188,-2.29137
E01005609,Salford 016A,382808,400079,53.49712,-2.26062
E01005136,Manchester 002C,385961,403514,53.5281,-2.21326
E01005135,Manchester 002B,386369,403775,53.53045,-2.2071
E01005132,Manchester 013C,385992,399019,53.48769,-2.21259
E01005133,Manchester 013D,385494,398762,53.48537,-2.22008
E01005130,Manchester 054A,385323,399456,53.49161,-2.22268
E01005138,Manchester 002D,386443,403344,53.52658,-2.20596
E01005139,Manchester 003B,386903,403611,53.529,-2.19905
E01005236,Manchester 022D,386233,395464,53.45574,-2.20878
E01005235,Manchester 020D,387373,395692,53.45782,-2.19164
E01005232,Manchester 020C,387097,395939,53.46004,-2.1958
E01005233,Manchester 027D,387324,395409,53.45528,-2.19235
E01005230,Manchester 022B,386236,395731,53.45815,-2.20875
E01005231,Manchester 022C,385828,395729,53.45812,-2.21491
E01005239,Manchester 020E,386384,396303,53.46329,-2.20655
E01005197,Manchester 023C,388739,395800,53.45882,-2.17106
E01005195,Manchester 023A,388310,395450,53.45567,-2.17751
E01005198,Manchester 023D,387851,395457,53.45573,-2.18442
E01005327,Oldham 017A,390251,405319,53.54441,-2.14859
E01005329,Oldham 015A,389034,405349,53.54466,-2.16695
E01005294,Manchester 052D,383653,386522,53.3753,-2.24718
E01005212,Manchester 057A,384032,396958,53.46911,-2.24201
E01005292,Manchester 052B,383642,387092,53.38042,-2.24737
E01005210,Manchester 019C,384165,396817,53.46785,-2.24
E01005290,Manchester 052A,383533,387592,53.38491,-2.24903
E01033676,Manchester 056D,384883,400571,53.50161,-2.22937
E01033677,Manchester 060A,383808,397612,53.47499,-2.24543
E01033674,Manchester 058C,383796,399528,53.49221,-2.2457
E01033675,Manchester 058D,383518,400499,53.50093,-2.24995
E01033670,Manchester 039E,383651,392521,53.42922,-2.24752
E01033678,Manchester 009F,386028,400416,53.50025,-2.21211
E01033679,Manchester 009G,385711,400199,53.49829,-2.21687
E01005675,Salford 008B,379908,401704,53.51163,-2.30444
E01005673,Salford 008A,379355,401477,53.50956,-2.31276
E01005626,Salford 018C,379032,400251,53.49854,-2.31755
E01005624,Salford 017A,380046,400525,53.50104,-2.30229
E01005622,Salford 018A,379507,400356,53.4995,-2.3104
E01005623,Salford 018B,379742,399999,53.4963,-2.30683
E01005628,Salford 018D,380152,399856,53.49503,-2.30064
E01005629,Salford 021A,379369,399839,53.49485,-2.31244
E01005166,Manchester 008E,384338,402092,53.51527,-2.23766
E01005167,Manchester 008F,384673,401897,53.51352,-2.2326
E01005164,Manchester 006A,384672,402466,53.51864,-2.23265
E01005165,Manchester 008D,383837,402283,53.51697,-2.24523
E01005162,Manchester 004D,383399,402689,53.5206,-2.25186
E01005163,Manchester 004E,384057,402611,53.51993,-2.24192
E01005160,Manchester 004B,383773,403143,53.52469,-2.24624
